RESULTADOS DEL ALGORITMO GENÉTICO
============================================================

Generación 001 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 002 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 003 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 004 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 005 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 006 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 007 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 008 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 009 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 010 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 011 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 012 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 013 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 014 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 015 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 016 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 017 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 018 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 019 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 020 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 021 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 022 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 023 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 024 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 025 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 026 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 027 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 028 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
